2020.06.30 06:34:11 INFO  es[][o.e.n.Node] started
2020.06.30 06:34:11 INFO  es[][o.e.g.GatewayService] recovered [0] indices into cluster_state
2020.06.30 06:34:25 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [metadatas] creating index, cause [api], templates [], shards [1]/[0], mappings []
2020.06.30 06:34:25 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2020.06.30 06:34:25 INFO  es[][o.e.c.m.MetaDataMappingService] [metadatas/r0Y3q71WTnOqBhRB4gyemg] create_mapping [metadata]
2020.06.30 06:34:26 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [components] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:34:26 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[components][4]] ...]).
2020.06.30 06:34:26 INFO  es[][o.e.c.m.MetaDataMappingService] [components/PBoWH1nLQtGIBj71-ATh1Q] create_mapping [auth]
2020.06.30 06:34:26 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:34:27 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[projectmeasures][4]] ...]).
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataMappingService] [projectmeasures/8Ai_5EjWR1ap8pZ3EPFp3Q] create_mapping [auth]
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [rules] creating index, cause [api], templates [], shards [2]/[0], mappings []
2020.06.30 06:34:27 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[rules][0]] ...]).
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataMappingService] [rules/N5E1oerGRlmI-WSI2-3R1w] create_mapping [rule]
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [issues] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:34:27 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[issues][4]] ...]).
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataMappingService] [issues/YAmzl5tARjagsENDUJWCAQ] create_mapping [auth]
2020.06.30 06:34:27 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2020.06.30 06:34:28 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[users][0]] ...]).
2020.06.30 06:34:28 INFO  es[][o.e.c.m.MetaDataMappingService] [users/rxr3EG9fT42c9K9rRKiRpQ] create_mapping [user]
2020.06.30 06:34:28 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [views] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:34:28 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[views][4]] ...]).
2020.06.30 06:34:28 INFO  es[][o.e.c.m.MetaDataMappingService] [views/vJBCBFszQKa41o4lrq5GjQ] create_mapping [view]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:34:45 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2020.06.30 06:36:29 INFO  es[][o.e.n.Node] stopping ...
2020.06.30 06:36:29 INFO  es[][o.e.n.Node] stopped
2020.06.30 06:36:29 INFO  es[][o.e.n.Node] closing ...
2020.06.30 06:36:29 INFO  es[][o.e.n.Node] closed
2020.06.30 06:37:54 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/mapper/vg_data-lvol0)]], net usable_space [285.1gb], net total_space [299.8gb], types [xfs]
2020.06.30 06:37:54 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2020.06.30 06:37:54 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [4faSyD4QQhSNyQV8PSdzIw]
2020.06.30 06:37:54 INFO  es[][o.e.n.Node] version[6.8.4], pid[40], build[default/tar/bca0c8d/2019-10-16T06:19:49.319352Z], OS[Linux/3.10.0-957.5.1.el7.x86_64/amd64], JVM[AdoptOpenJDK/OpenJDK 64-Bit Server VM/11.0.6/11.0.6+10]
